message,trialNum,strength,center,delta,direction,answerSame,answerCorrect
marisse_ortho_directed_disconnected,102,105,270,45,-1,0,1
marisse_ortho_directed_disconnected,103,205,270,0,-1,0,0
marisse_ortho_directed_disconnected,104,255,270,45,-1,0,1
marisse_ortho_directed_disconnected,105,105,180,0,-1,0,0
marisse_ortho_directed_disconnected,106,155,315,0,-1,1,1
marisse_ortho_directed_disconnected,107,105,45,90,-1,1,0
marisse_ortho_directed_disconnected,108,105,180,180,-1,0,1
marisse_ortho_directed_disconnected,109,255,145,0,-1,1,1
marisse_ortho_directed_disconnected,110,155,315,180,-1,1,0
marisse_ortho_directed_disconnected,111,255,180,0,-1,1,1
marisse_ortho_directed_disconnected,112,105,145,0,-1,1,1
marisse_ortho_directed_disconnected,113,105,145,90,-1,0,1
marisse_ortho_directed_disconnected,114,105,0,0,-1,1,1
marisse_ortho_directed_disconnected,115,105,270,0,-1,1,1
marisse_ortho_directed_disconnected,116,155,225,45,-1,1,0
marisse_ortho_directed_disconnected,117,255,225,22,-1,1,0
marisse_ortho_directed_disconnected,118,105,45,45,-1,0,1
marisse_ortho_directed_disconnected,119,205,315,0,-1,1,1
marisse_ortho_directed_disconnected,120,105,145,0,-1,1,1
marisse_ortho_directed_disconnected,121,205,0,0,-1,1,1
marisse_ortho_directed_disconnected,122,205,90,0,-1,1,1
marisse_ortho_directed_disconnected,123,155,145,0,-1,1,1
marisse_ortho_directed_disconnected,124,255,45,90,-1,1,0
marisse_ortho_directed_disconnected,125,105,225,0,-1,1,1
marisse_ortho_directed_disconnected,126,255,315,45,-1,1,0
marisse_ortho_directed_disconnected,127,205,315,45,-1,1,0
marisse_ortho_directed_disconnected,128,255,90,0,-1,1,1
marisse_ortho_directed_disconnected,129,155,90,180,-1,1,0
marisse_ortho_directed_disconnected,130,205,270,0,-1,1,1
marisse_ortho_directed_disconnected,131,105,0,45,-1,1,0
marisse_ortho_directed_disconnected,132,155,225,90,-1,0,1
marisse_ortho_directed_disconnected,133,105,225,22,-1,1,0
marisse_ortho_directed_disconnected,134,105,90,0,-1,1,1
marisse_ortho_directed_disconnected,135,255,315,0,-1,1,1
marisse_ortho_directed_disconnected,136,255,145,45,-1,1,0
marisse_ortho_directed_disconnected,137,155,0,0,-1,0,0
marisse_ortho_directed_disconnected,138,105,225,0,-1,0,0
marisse_ortho_directed_disconnected,139,105,315,90,-1,0,1
marisse_ortho_directed_disconnected,140,205,145,0,-1,0,0
marisse_ortho_directed_disconnected,141,205,270,0,-1,1,1
marisse_ortho_directed_disconnected,142,155,145,45,-1,1,0
marisse_ortho_directed_disconnected,143,105,180,90,-1,1,0
marisse_ortho_directed_disconnected,144,205,315,0,-1,1,1
marisse_ortho_directed_disconnected,145,205,145,0,-1,1,1
marisse_ortho_directed_disconnected,146,255,145,180,-1,0,1
marisse_ortho_directed_disconnected,147,105,45,180,-1,0,1
marisse_ortho_directed_disconnected,148,205,45,0,-1,1,1
marisse_ortho_directed_disconnected,149,105,0,0,-1,1,1
marisse_ortho_directed_disconnected,150,105,145,22,-1,1,0
marisse_ortho_directed_disconnected,151,205,90,0,-1,1,1
marisse_ortho_directed_disconnected,152,205,180,0,-1,0,0
marisse_ortho_directed_disconnected,153,155,270,0,-1,0,0
marisse_ortho_directed_disconnected,154,155,270,0,-1,1,1
marisse_ortho_directed_disconnected,155,205,90,0,-1,0,0
marisse_ortho_directed_disconnected,156,255,145,0,-1,1,1
marisse_ortho_directed_disconnected,157,205,45,45,-1,0,1
marisse_ortho_directed_disconnected,158,155,180,90,-1,0,1
marisse_ortho_directed_disconnected,159,105,45,0,-1,0,0
marisse_ortho_directed_disconnected,160,255,45,0,-1,1,1
marisse_ortho_directed_disconnected,161,105,270,90,-1,0,1
marisse_ortho_directed_disconnected,162,255,225,0,-1,1,1
marisse_ortho_directed_disconnected,163,205,45,22,-1,1,0
marisse_ortho_directed_disconnected,164,105,0,0,-1,0,0
marisse_ortho_directed_disconnected,165,255,180,0,-1,1,1
marisse_ortho_directed_disconnected,166,105,180,0,-1,1,1
marisse_ortho_directed_disconnected,167,105,45,0,-1,1,1
marisse_ortho_directed_disconnected,168,205,225,22,-1,1,0
marisse_ortho_directed_disconnected,169,255,180,22,-1,0,1
marisse_ortho_directed_disconnected,170,155,270,22,-1,1,0
marisse_ortho_directed_disconnected,171,255,180,45,-1,0,1
marisse_ortho_directed_disconnected,172,105,45,22,-1,1,0
marisse_ortho_directed_disconnected,173,205,0,180,-1,1,0
marisse_ortho_directed_disconnected,174,255,225,90,-1,0,1
marisse_ortho_directed_disconnected,175,205,270,22,-1,1,0
marisse_ortho_directed_disconnected,176,105,315,0,-1,1,1
marisse_ortho_directed_disconnected,177,155,225,0,-1,1,1
marisse_ortho_directed_disconnected,178,205,225,0,-1,1,1
marisse_ortho_directed_disconnected,179,105,90,0,-1,1,1
marisse_ortho_directed_disconnected,180,255,90,180,-1,1,0
marisse_ortho_directed_disconnected,181,155,180,45,-1,1,0
marisse_ortho_directed_disconnected,182,155,315,0,-1,1,1
marisse_ortho_directed_disconnected,183,105,270,0,-1,1,1
marisse_ortho_directed_disconnected,184,205,270,90,-1,1,0
marisse_ortho_directed_disconnected,185,255,270,90,-1,0,1
marisse_ortho_directed_disconnected,186,255,0,90,-1,0,1
marisse_ortho_directed_disconnected,187,155,315,45,-1,1,0
marisse_ortho_directed_disconnected,188,155,225,180,-1,0,1
marisse_ortho_directed_disconnected,189,155,0,180,-1,0,1
marisse_ortho_directed_disconnected,190,155,270,180,-1,0,1
marisse_ortho_directed_disconnected,191,255,0,45,-1,1,0
marisse_ortho_directed_disconnected,192,155,145,0,-1,1,1
marisse_ortho_directed_disconnected,193,105,225,180,-1,0,1
marisse_ortho_directed_disconnected,194,105,315,0,-1,1,1
marisse_ortho_directed_disconnected,195,155,315,90,-1,0,1
marisse_ortho_directed_disconnected,196,105,315,0,-1,0,0
