message,trialNum,strength,center,delta,direction,answerSame,answerCorrect
marisse_paper_undirected,121,255,45,0,-1,1,1
marisse_paper_undirected,122,155,270,90,-1,0,1
marisse_paper_undirected,123,255,225,0,-1,1,1
marisse_paper_undirected,124,205,225,0,-1,1,1
marisse_paper_undirected,125,255,145,0,-1,1,1
marisse_paper_undirected,126,105,270,0,-1,1,1
marisse_paper_undirected,127,155,45,0,-1,1,1
marisse_paper_undirected,128,155,0,22,-1,1,0
marisse_paper_undirected,129,155,180,0,-1,1,1
marisse_paper_undirected,130,255,90,0,-1,1,1
marisse_paper_undirected,131,255,0,90,-1,1,0
marisse_paper_undirected,132,105,0,45,-1,1,0
marisse_paper_undirected,133,155,225,90,-1,0,1
marisse_paper_undirected,134,255,90,22,-1,1,0
marisse_paper_undirected,135,255,45,90,-1,1,0
marisse_paper_undirected,136,105,0,0,-1,1,1
marisse_paper_undirected,137,255,90,180,-1,0,1
marisse_paper_undirected,138,155,225,0,-1,1,1
marisse_paper_undirected,139,155,180,90,-1,0,1
marisse_paper_undirected,140,255,315,45,-1,1,0
marisse_paper_undirected,141,105,145,180,-1,0,1
marisse_paper_undirected,142,155,180,0,-1,1,1
marisse_paper_undirected,143,155,225,22,-1,1,0
marisse_paper_undirected,144,155,45,45,-1,1,0
marisse_paper_undirected,145,205,45,0,-1,1,1
marisse_paper_undirected,146,205,225,45,-1,1,0
marisse_paper_undirected,147,205,225,90,-1,1,0
marisse_paper_undirected,148,205,90,0,-1,1,1
marisse_paper_undirected,149,105,45,0,-1,0,0
marisse_paper_undirected,150,255,90,0,-1,1,1
marisse_paper_undirected,151,255,90,90,-1,0,1
marisse_paper_undirected,152,155,270,22,-1,1,0
marisse_paper_undirected,153,255,145,0,-1,1,1
marisse_paper_undirected,154,155,270,0,-1,1,1
marisse_paper_undirected,155,155,45,180,-1,0,1
marisse_paper_undirected,156,255,315,0,-1,1,1
marisse_paper_undirected,157,105,180,45,-1,0,1
marisse_paper_undirected,158,155,45,22,-1,1,0
marisse_paper_undirected,159,105,180,0,-1,1,1
marisse_paper_undirected,160,255,145,0,-1,1,1
marisse_paper_undirected,161,205,180,0,-1,1,1
marisse_paper_undirected,162,105,145,0,-1,1,1
marisse_paper_undirected,163,205,270,90,-1,0,1
marisse_paper_undirected,164,105,315,180,-1,1,0
marisse_paper_undirected,165,155,315,0,-1,1,1
marisse_paper_undirected,166,205,45,45,-1,1,0
marisse_paper_undirected,167,155,0,45,-1,1,0
marisse_paper_undirected,168,205,180,22,-1,0,1
marisse_paper_undirected,169,155,315,90,-1,0,1
marisse_paper_undirected,170,205,0,45,-1,1,0
marisse_paper_undirected,171,205,315,45,-1,1,0
marisse_paper_undirected,172,105,270,90,-1,1,0
marisse_paper_undirected,173,105,90,0,-1,1,1
marisse_paper_undirected,174,105,270,22,-1,1,0
marisse_paper_undirected,175,105,180,180,-1,0,1
marisse_paper_undirected,176,255,270,0,-1,1,1
marisse_paper_undirected,177,155,315,0,-1,1,1
marisse_paper_undirected,178,255,270,0,-1,1,1
marisse_paper_undirected,179,155,0,0,-1,0,0
marisse_paper_undirected,180,255,45,22,-1,1,0
marisse_paper_undirected,181,105,315,0,-1,1,1
marisse_paper_undirected,182,105,45,45,-1,1,0
marisse_paper_undirected,183,155,145,22,-1,1,0
marisse_paper_undirected,184,205,0,0,-1,1,1
marisse_paper_undirected,185,155,225,0,-1,1,1
marisse_paper_undirected,186,105,225,22,-1,1,0
marisse_paper_undirected,187,205,45,0,-1,1,1
